fruit,>30 cal per 100g,over $1/pound,need to peel,green?,keep in fridge,grows on a tree,truth
apple,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,fruit
apricot,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,fruit
banana,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fruit
blueberry,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,fruit
blackberry,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,fruit
cantaloupe,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fruit
coconut,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,fruit
coffee bean,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,fruit
durian,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,fruit
grape,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,fruit
grapefruit,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,fruit
lime,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,fruit
mango,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,fruit
orange,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,fruit
pineapple,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,fruit
peach,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,fruit
pear,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,fruit
plum,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,fruit
quince,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,fruit
raspberry,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,fruit
rhubarb,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,fruit
strawberry,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,fruit
sugar cane,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,fruit
tamirand,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,fruit
watermelon,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fruit
avocado,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,veg
artichoke,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,veg
asparagus,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,veg
brussels sprout,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,veg
green beans,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,veg
beet,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,veg
carrot,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,veg
corn,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,veg
cabbage,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,veg
celery,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,veg
cucumber,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,veg
eggplant,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,veg
garlic,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,veg
kale,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,veg
lettuce,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,veg
mushroom,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,veg
onion,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,veg
potato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,veg
green peas,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,veg
pumpkin,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,veg
radish,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,veg
spinach,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,veg
sweet potato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,veg
tomato,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,veg
zucchini,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,veg
,29,23,19,15,22,14,
